uuid,vinNumber,makerName,modelName,mileage,year,price,zipCode,created,updated
123,63ffeb6e-9dc2-41a4-824d-009d9664db9c,Dyche,Sabina,11515,1924,481159.65,50,2020-01-07,2020-06-08
124,c09eabde-5e13-4760-87ee-ff30917bcf9e,Carmena,Mathilda,5160,1959,598707.12,472,2020-04-11,2020-02-02
125,1092cf61-ffd5-4105-af95-e0bb6d270686,Clywd,Clo,96906,1988,392315.45,987,2020-02-06,2020-04-19
126,34076e60-404c-42e0-a5f4-496e2b56e250,Bollay,Gerrie,13340,1992,757119.84,825,2020-04-16,2020-05-24
127,e2c0fb46-1d9f-42c8-93bd-c221afb50f7e,Rurik,Jaime,87608,1998,514102.59,471,2020-01-31,2020-05-01
128,7b600754-42d3-45d8-954a-c38042c2edf2,Mehalek,Talya,64327,2012,858526.82,66,2020-01-20,2020-01-01
129,3deba102-185e-41bf-bfb5-85982c7286ba,Sherrie,Daryl,46294,1979,619862.75,544,2020-06-02,2020-02-05
130,49034fbe-85e1-4cb2-9e9e-3c56cf155b02,Karl,Juliane,96512,1982,995238.79,160,2020-06-07,2020-03-22
131,851c3d36-00fa-40cf-bbfd-381a8c722c78,Maroney,Ardeen,82367,1946,770993.21,116,2020-05-14,2020-01-31
132,391a02a2-bdac-43ff-a428-fc0bcbaaf6b2,Anestassia,Lelah,41566,2005,470227.52,653,2020-06-23,2020-03-26
133,344c7421-61ab-458e-869b-8c3fc371e28b,Konyn,Emelina,84220,1961,494869.42,826,2020-02-03,2020-02-20
134,94dd35df-1ca7-4a2d-b6a0-d39c5c3a73d6,Rebecka,Sheree,66275,2008,532214.3,523,2020-02-07,2020-02-21
135,4aab5e2c-2ac9-4548-a01b-0c491b2ec6d8,Turne,Phedra,26128,1976,252064.59,471,2020-03-25,2020-03-15
136,58146c8d-8760-465b-a09c-061835cb94d1,Desai,Trudie,12661,1993,5973.25,463,2020-03-15,2020-05-02
137,570c12ec-a340-413c-87f6-00e8c43f768f,Vary,Leeanne,9914,1908,574655.57,654,2020-02-26,2020-04-28
138,4687f10b-68e2-4101-bf87-df4a852db34f,Tamar,Brena,91929,2019,875780.74,38,2020-06-03,2020-02-29
139,96735106-768f-4846-953a-04421f265da0,Christal,Ericka,49789,1975,990575.61,962,2020-06-21,2020-04-03
140,e028fac1-39b0-4d7e-97d9-dfb308226311,Kalinda,Collen,75385,1928,484751.81,144,2020-05-24,2020-02-12
141,94321522-5268-4c4d-937a-2aa9ffc19404,Garlinda,Gabi,52228,1908,891463.02,353,2020-01-12,2020-02-20
142,bda9c161-06cf-452e-a570-216b85564072,Christine,Priscilla,43410,1985,209006.7,752,2020-06-12,2020-05-05
143,2530349f-a3f0-4aae-adea-48183cc08599,Syd,Xylina,77933,2004,913042.11,549,2020-02-03,2020-03-20
144,a71d7fec-b5de-46e9-b206-c392a8b5b66c,Schroth,Lexine,94627,1991,481953.34,899,2020-04-22,2020-06-07
145,9dae2fb2-7a3f-4050-97a1-7fe441d9ed96,Brackely,Carly,98114,1989,932218.8,657,2020-04-27,2020-05-24
146,d12c1840-3819-4324-a219-3f1e57bc0605,Travax,Sophia,31512,1908,729634.09,228,2020-04-08,2020-02-22
147,bcfb75ca-0ba2-4aae-81e7-5bfe3fe314de,Ader,Anestassia,36074,1990,867924.65,743,2020-03-25,2020-05-04
148,cbf2a716-b866-494f-9f50-fff872605462,Dom,Elise,86646,1979,462061.93,624,2020-05-27,2020-03-22
149,c2eafebe-d9a7-442c-a6b5-7c01bae1aed6,Orlene,Allyce,11695,2016,887864.04,952,2020-05-04,2020-02-13
150,2d50b660-9044-41fd-8cdc-c5921725a66b,Evvie,Kathy,69892,1916,211090.09,741,2020-03-11,2020-05-12
151,f4822cf6-5997-4fef-a37f-55bf57ee300a,Sherfield,Arabel,66050,1988,847458.5,830,2020-06-01,2020-01-17
152,0ceb4f00-fe9a-4dd2-ad42-65cd728560fb,Armanda,Linet,81787,1952,840836.14,259,2020-03-02,2020-04-05
153,fb645ba2-288f-47c1-89b2-fddfeac249ae,Firmin,Suzette,78354,1989,58287.13,412,2020-03-30,2020-06-12
154,a7fa7963-834a-49e7-96b1-50c00b82e0f3,Lauraine,Hildegaard,63414,1991,427872.35,336,2020-06-13,2020-05-05
155,6a86b032-47c6-47a2-a146-64ce37174032,Chick,Lory,60365,1974,145464.36,796,2020-05-31,2020-04-28
156,7b0e98e4-aa46-48bc-b001-6e59b352f47a,Gusella,Elsie,53971,1972,944495.23,103,2020-03-22,2020-01-25
157,6a36c34a-1c20-4c20-9e6b-d85bb0d5527b,Corabella,Ronna,92260,1957,441729.82,124,2020-01-22,2020-06-09
158,df89d242-b4f3-42de-b531-3287ba90c539,Sasnett,Minda,11951,1972,751323.06,888,2020-01-02,2020-03-23
159,d6531600-ea6e-4817-8293-298c3773bca1,Skell,Justinn,6786,1991,166043.44,410,2020-06-06,2020-01-01
160,6b74d6f6-e1f8-4199-bb77-396742503f9a,Madox,Clementine,41091,1932,989243.77,877,2020-04-26,2020-06-11
161,1f9efc82-5ac8-4c93-9654-dcb8acdf3339,Dearborn,Selia,17880,1990,406069.51,988,2020-03-08,2020-02-24
162,992a9ff4-30e9-4115-bad6-096dbc782a25,Han,Korrie,85304,1905,33780.48,5,2020-05-25,2020-04-24
163,c2ee2cf6-2778-4d5f-8bd9-49782d917274,Kalinda,Micheline,43420,1923,741803.8,958,2020-02-26,2020-04-01
164,bdcde7f8-9c88-4982-b79a-c8a8f01b40cf,Tryck,Sarette,42527,1918,277657.56,975,2020-05-24,2020-04-13
165,7886524f-3c8e-4c44-a808-1fb4b08af575,Elvyn,Maud,75123,1991,330961.31,705,2020-04-09,2020-05-31
166,d523bd8d-9c2f-4d8d-bda6-653ae5f44657,Grimbly,Hyacinthe,67836,2008,773315.3,404,2020-05-06,2020-03-05
167,778a7778-9ffd-49ab-b3f2-b853528a7021,Bakerman,Molli,5093,2010,467010.73,997,2020-01-06,2020-01-08
168,a78a0035-90dc-4137-a356-09b35f40d560,Jorgan,Chloris,10931,2001,26782.29,65,2020-01-12,2020-04-08
169,162c6baf-232c-4c69-ba44-fa2b683c881e,Mott,Agnese,7934,1934,747819.22,214,2020-01-28,2020-04-19
170,e6f3f03b-6b72-4a05-9f54-dce3f4b9c188,Lutero,Imojean,322,2002,287568.92,504,2020-06-15,2020-04-03
171,23151d51-0459-495e-b103-dadad14eada9,Liebermann,Cassandra,87193,1937,839958.27,47,2020-06-10,2020-03-06
172,b40dad3a-5718-433c-8b0d-7fca4b49539d,Gavrila,Zsa Zsa,48362,1936,999070.31,942,2020-01-29,2020-05-16
173,e7ca83c2-7dd0-4812-8416-6705846d04f4,Wittie,Sharai,42210,1995,605883.08,537,2020-04-29,2020-06-18
174,0447916b-aede-4353-9b1a-03ed1aae73cc,Daegal,Rochette,75156,2003,484142.04,865,2020-01-13,2020-01-10
175,5a95ef63-0135-4072-b1df-a2341e94bee4,Sprage,Roxane,38337,1923,252928.55,347,2020-04-12,2020-06-01
176,951d0ed1-0405-460c-ac37-a374e8bf27f1,Hanshaw,Karina,93396,2001,37437.99,151,2020-02-08,2020-03-20
177,3eb6221e-aaf1-4b50-942a-04e2291a4fc9,Catie,Tressa,46971,1931,75856.39,939,2020-03-24,2020-03-09
178,722a75f5-e00e-4d1f-a428-d399bbc99072,Etom,Tilly,10682,1926,575767.41,215,2020-05-27,2020-01-07
179,4d8fc1af-cd7a-45ba-a80f-0c5770a94725,Alrich,Roxane,65075,1991,166334.59,487,2020-03-25,2020-03-04
180,e79ff6f7-b8e0-42e9-bb61-71884af613f4,Niles,Fredericka,86095,1912,401791.1,406,2020-06-22,2020-05-05
181,03864308-5950-4827-8b37-5655a3622c5b,Dielu,Ileana,274,1926,764624.04,524,2020-01-13,2020-04-07
182,674c314a-9a0f-4344-941c-d3d13ff5fae2,Hoenack,Rivalee,99768,1970,508530.06,520,2020-01-29,2020-06-20
183,44ecd3de-7f94-4e39-add9-9a9b53202cf1,Corilla,Leona,58920,1940,420886.4,530,2020-05-03,2020-02-11
184,dc1509e7-ba9c-4e8a-b49a-e3032f349696,Damarra,Luci,56079,1934,863589.35,980,2020-04-07,2020-03-17
185,01f3f521-97e0-4d69-bb00-2d426b5c5f2f,Middleton,Queenie,76777,1923,436455.01,203,2020-05-21,2020-05-30
186,b59259df-3eeb-454c-80f1-de414d466581,Burnside,Aaren,74476,1969,228730.02,497,2020-02-13,2020-03-02
187,ac9c01c0-92b8-41a0-a0d6-3b8f8962f462,Sasnett,Constance,71802,1992,330869.98,971,2020-03-05,2020-02-04
188,388b4c08-0042-48d0-9beb-a9e492e9acb0,Kress,Randa,45716,2002,842141.14,220,2020-02-22,2020-01-29
189,dcef3173-03c0-48aa-b7f3-80c3d310d182,Llovera,Alex,88647,1997,615528,281,2020-04-14,2020-04-27
190,60db4060-c534-428b-a4db-d21f186575b8,Skurnik,Alex,36904,1983,70547.39,802,2020-02-19,2020-02-23
191,6590f6c4-a7b8-481c-9fca-f0b8eb841256,Linskey,Sissy,86908,2009,150915.44,187,2020-04-20,2020-06-14
192,964ee99e-6801-4152-80dc-fd64f751cb5b,Arquit,Audrie,21894,1934,254012.06,118,2020-04-01,2020-03-17
193,8b668917-e2bb-4d9b-86cc-039d22f5aa3f,Belanger,Etta,16777,1986,678243.95,726,2020-03-20,2020-02-27
194,ff5af43a-2849-4e58-8735-b6d5c5fbcca9,Connelly,Millie,77929,1915,315104.38,426,2020-01-12,2020-01-23
195,75070c1a-403c-411e-8a38-30fa0fbec8f1,Gombach,Rubie,76665,1920,171963.95,69,2020-06-23,2020-04-06
196,79dfd81a-f22e-4843-aac9-f5d0b17d05b7,Hertzfeld,Clementine,44195,1995,641210.74,724,2020-03-01,2020-01-02
197,839f7918-66c7-4ff7-83b8-1c16e8d2c392,Christal,Kate,71731,1996,73278.4,312,2020-03-23,2020-03-16
198,1e24b833-9457-43b6-aba3-62b28eb10529,Kress,Dulcinea,8933,1999,764720.49,425,2020-04-16,2020-01-13
199,5289dd10-07da-4c52-85fe-a98eeb2b5ad1,Ietta,Talya,15199,1909,615648.75,570,2020-03-23,2020-04-23
200,0ef8c327-f198-4dc2-80dd-c9fbe429976c,Sperling,Delilah,60792,1923,263316.79,735,2020-05-27,2020-05-02
201,78741b3a-3220-42d5-8e65-e742d5e23afd,Delp,Sissy,3000,1959,830328.02,404,2020-03-19,2020-03-13
202,505ad394-84ca-4171-9289-3c6bcc7afc3f,Constancy,Sabina,48333,1942,21117.75,758,2020-02-25,2020-03-12
203,315b8d66-5508-472b-b755-99795bf434c8,Randene,Ricky,65404,1987,443536.74,955,2020-04-10,2020-04-19
204,863269d7-90f7-48c2-9ebf-0880c13517f3,Narton,Charissa,64916,1943,546220.04,668,2020-03-26,2020-04-01
205,7cb10a97-5257-45cc-afe4-a9c3ff508d84,Lissi,Harrietta,3846,1977,909870.35,54,2020-05-16,2020-05-25
206,aa3acf78-4739-47d0-a0a7-c1ace256430b,Salvidor,Orsola,92867,2011,399878.24,504,2020-03-21,2020-02-15
207,0fca9ef6-fc61-4afd-acda-1d83b6dabe18,Lacombe,Doralynne,44235,1967,61316.65,353,2020-02-10,2020-03-25
208,b80b190d-d1eb-4df1-b383-4d7f644d0e12,Lattie,Eve,99353,2002,11480.28,454,2020-04-20,2020-05-16
209,49ac1adc-01ae-4bb4-b942-cb4e6f7e1789,Cadmar,Helena,16269,2008,998841.83,332,2020-04-16,2020-01-26
210,8b3b8af3-8877-47e6-8f62-feaba4609b7c,Felizio,Petronia,28952,1955,191546.97,778,2020-05-23,2020-04-10
211,ec78eda6-66be-4da0-8958-f5a70e9e191f,Fax,Dione,75758,1981,158994.75,939,2020-05-11,2020-04-01
212,bc58b389-505b-4ee1-8d93-0a06ac3e704e,Rooney,Lisette,9931,1983,511735.51,380,2020-03-09,2020-01-16
213,9f59a1f4-6249-41a3-8b94-28d05f830ac6,Sekofski,Lynea,7562,1969,482830.33,357,2020-06-11,2020-05-29
214,91655c5f-d46c-4a41-af3e-6e1d0aa941a7,Melleta,Sybille,52010,1947,16204.03,317,2020-06-01,2020-05-23
215,28213043-899a-440b-85bc-62f4872ab3c1,Bennie,Olivette,89861,1908,547843.92,324,2020-04-30,2020-02-21
216,077d3daf-e1c4-42d8-81be-c126550d798d,Fax,Aurore,22756,1935,446216.39,968,2020-02-06,2020-05-05
217,4b29ab65-be66-46d7-9c06-f0599ed9e99a,Roarke,Kimberley,30455,1947,80656.72,5,2020-05-24,2020-03-04
218,bedabbbd-7d5b-467a-9bf5-0bbd654b5bdc,Sandye,Dacia,86607,2006,28733.57,420,2020-04-29,2020-03-03
219,390550bc-2330-47bf-9b36-0549289428fc,Turne,Talya,87706,1975,167562.7,1000,2020-03-25,2020-02-21
220,1fe7acb9-2031-411d-8e82-86bcf37f229e,Phyllis,Netty,85283,1931,839703.76,514,2020-05-22,2020-03-14
221,f639b684-9e44-446a-aef5-a15ccb108e67,Pip,Consuela,32285,1921,852416.76,303,2020-04-07,2020-05-03
222,c4af422a-e5e7-4896-80e8-7bed6ddfccb7,Malina,Edyth,89417,1937,765071.96,295,2020-04-15,2020-02-13
223,022c9463-d8dd-48d8-be04-d16850e9171a,Lia,Minda,70822,1960,362084.25,954,2020-02-02,2020-05-21
224,c71283ec-9458-4118-9aa9-91c9c9c43d69,Kare,Gusty,32786,1942,217694.63,613,2020-05-14,2020-06-09
225,89e287d8-d556-4be7-a40b-759f8ee46ace,Thilda,Briney,40694,1961,183735.75,105,2020-01-23,2020-05-15
226,eb0f14b9-ef87-4f46-beba-f3d9bcb1e953,Sholley,Doralynne,17085,1983,618261.5,880,2020-02-01,2020-01-17
227,21f56a4a-64eb-4acf-a447-ea87d4e32ffa,Rosemary,Joelly,13726,1920,562734.48,376,2020-05-12,2020-04-11
228,45860e9f-9107-4c7b-8a87-25b8ff86377d,Publia,Belva,46659,1944,882933.88,758,2020-03-16,2020-02-04
229,e78f45bf-baec-4cbf-aa5d-abe5588dc636,Barrus,Averyl,64148,1947,107415.59,70,2020-04-10,2020-02-15
230,d2d1be44-1c1d-4c93-aa94-9d4e052947e0,Prouty,Kerrin,45692,1952,848663.6,350,2020-04-07,2020-05-06
231,7e4bff15-a740-4f0c-82fa-db51d10dfdee,Dituri,Brandise,16424,1924,900441.69,1000,2020-02-17,2020-06-07
232,ba05449b-a23c-4d50-84a0-ea173f45b067,Codding,Etta,9721,1936,100998.36,171,2020-03-07,2020-02-23
233,6413f7d0-cb5a-441b-8b6b-3712c8a03de3,Japeth,Alexine,2543,2003,586117.23,201,2020-04-20,2020-06-03
234,7c8d19da-50bd-4c56-8854-2e0e56f36705,Hubert,Yvonne,79071,1928,401451.58,324,2020-01-08,2020-06-18
235,d0f0b2c2-8a1a-4e54-a0e6-f35e3454627f,Katrine,Gabriellia,99513,2015,789547.22,223,2020-06-11,2020-03-09
236,6ed04e7e-269c-403a-9ba3-6703dff21a9b,Lumbard,Laure,46145,1990,877861.11,774,2020-03-23,2020-02-11
237,f189a63e-c082-462b-8c3d-e55df7478e4d,Madox,Correy,26432,1935,311045.6,797,2020-02-09,2020-03-08
238,1d3803f2-90d8-488d-a031-6c37ee16fda7,Darbie,Janis,48203,1960,557833.53,483,2020-03-06,2020-02-06
239,df0ecb52-d55f-439b-8e97-28aa415777d3,Catie,Lucille,9883,1988,688803.85,75,2020-03-03,2020-06-08
240,c59c2bd7-2ccd-431e-a716-043b1524d3d3,Killigrew,Amii,31571,1981,893878.52,822,2020-03-07,2020-03-07
241,2c05e360-c3f4-416b-ae56-4950f76ed3ec,Pip,Teddie,75470,1906,53808.83,806,2020-01-20,2020-05-16
242,b2d91ab4-54b7-43f7-922f-f3a26e10a19c,Haymes,Gerianna,92896,1920,214094.44,743,2020-03-24,2020-04-03
243,f07f3041-9930-4e46-ac0f-16d546edc642,Dudley,Shaine,61457,1925,405489.11,964,2020-04-18,2020-03-31
244,6dadec8e-d131-49ce-a930-26576957921d,Ulphia,Helsa,84379,1975,732504.27,665,2020-05-22,2020-02-22
245,c9257e50-7b29-49ec-894c-9470c0c9e718,Skurnik,Florie,74372,2006,299659.31,147,2020-05-14,2020-04-16
246,153c78d0-48f4-4980-9ec5-0d30d5a79494,Calhoun,Aigneis,11057,1907,487459.04,885,2020-02-15,2020-02-18
247,0cd0f218-231f-4de0-9dcd-2e52ba06435b,Fulmer,Malina,99416,1915,825601.03,924,2020-03-23,2020-01-23
248,b347ff51-a824-4f34-9db1-19e8e42f1aec,Jacobah,Hallie,50586,1912,116300.45,870,2020-06-15,2020-03-04
249,4e6e598f-b133-46c8-b972-9a2f64500920,Isidore,Dulcinea,25364,1908,367574.51,858,2020-02-09,2020-04-13
250,5405ccf2-bc52-4cbf-8b77-2a1252e039fe,Ferrell,Sheelagh,14036,1933,29247.38,244,2020-04-26,2020-04-18
251,8baa7896-2cb0-4dce-bc4e-93302a2c94c3,Cloris,Karena,12482,1961,434456.39,396,2020-05-09,2020-01-07
252,9f687662-9f8b-4c27-a5f9-9a4c7980e242,Valoniah,Verla,22259,1959,308708.6,264,2020-01-28,2020-01-06
253,7177608c-28a8-40a8-b225-b215bed5fb0b,Revkah,Emylee,36685,1923,538155.59,510,2020-02-04,2020-04-05
254,11067b7a-940d-4db6-a01c-8f9b60e33b4d,Genna,Viviene,96662,1903,822590.77,300,2020-03-09,2020-01-18
255,637b5d60-481b-4eee-9c55-41e36849ed76,Woodberry,Marguerite,57512,1907,950783.83,999,2020-05-10,2020-02-29
256,48939984-a3a8-4db2-9afc-96590711390f,Dearborn,Aurore,42172,1942,930404.34,558,2020-03-16,2020-01-02
257,c90fdc78-c75e-46d0-95c4-ae74505def32,McAdams,Myrtice,83679,1975,163101.53,708,2020-03-20,2020-03-15
258,f8315cd2-333f-4967-a407-f7fad833ffc4,Morgun,Meghann,50063,1996,107879.61,918,2020-01-02,2020-01-18
259,bc45dab7-e6a4-41c7-a60d-4af011bef457,Tillford,Albertina,18389,1910,907956.98,559,2020-03-09,2020-01-30
260,d5b2424e-afae-4e29-b86b-788120221cc3,Maxi,Lauryn,34779,2013,413026.47,780,2020-03-22,2020-01-20
261,8d9b25e5-2e34-4a82-b459-c734ddb1c8b9,Monk,Louella,72186,1964,211988.38,228,2020-03-27,2020-02-27
262,5b537dc3-f131-4065-b54c-8dd0d9922e90,Reinke,Corina,97829,1944,220331.91,439,2020-03-09,2020-02-13
263,737ab75f-d164-4b15-a7e5-06298fb6c75a,Tryck,Isa,35715,2017,993896.81,683,2020-02-14,2020-05-12
264,6ac4e7a7-8189-461e-a781-f58f0c017c3d,Primalia,Dede,9649,1983,456916.6,242,2020-04-02,2020-02-04
265,ccc87a2d-9a3c-40a8-bd1a-d5e07f58d085,Gower,Aurelie,91171,1923,65641.03,465,2020-06-15,2020-02-25
266,e1501503-3bc4-46a7-aa19-ef16adc22694,Deegan,Jemie,13640,2016,982985.56,705,2020-01-21,2020-01-02
267,5a12d365-c3db-42b2-b763-56b4f10252d8,Rogerio,Hayley,87900,1981,673297.2,672,2020-05-04,2020-05-30
268,8cefee0e-8a63-4794-8fd1-c246a61c5d2f,Lilas,Dennie,64075,1995,103875.38,464,2020-05-05,2020-02-26
269,3da5aa34-0b5b-4acd-85bc-3ddb3b67fc72,Gregrory,Mamie,56568,1984,176083.5,73,2020-01-17,2020-02-08
270,cd212f49-e15d-420c-a276-edc7662fce7a,Gwenore,Etta,70857,2005,401757.55,659,2020-06-14,2020-03-01
271,0431f965-d339-4de8-8ac7-54fabf621955,Bonucci,Rubie,8808,1988,349267.28,398,2020-05-13,2020-02-15
272,d5e79550-5be4-49b3-be4c-4ea911117e3d,Lamoree,Ekaterina,44123,2004,80842.39,470,2020-01-02,2020-03-28
273,b98c91f2-fa0d-42c9-9724-7def206f4033,Ariella,Arlena,48628,1950,386242.97,102,2020-01-11,2020-06-06
274,bcf01745-5473-47db-a4f4-ad6c834cbace,Meli,Babita,46783,1936,670402.28,391,2020-05-22,2020-04-05
275,d0b02661-e1af-46ea-a299-65061cd0e32f,Shuler,Mellicent,59573,1911,513812.35,956,2020-06-07,2020-04-11
276,fdf2adac-34bc-4835-b2c7-c9249d23bc99,Honoria,Joane,70652,1929,545718.72,967,2020-05-31,2020-05-20
277,1792f238-abf5-43a0-ac30-74a4c6ca7efe,Read,Gilligan,91852,1991,900617.62,302,2020-02-11,2020-02-09
278,93a1f889-8066-44c9-8c06-c8a7ed07ecfa,Bettine,Vonny,35999,1984,19107.74,41,2020-03-19,2020-01-24
279,7de780f6-29f4-431c-9493-073017103f7e,Gordon,Juliane,46527,1923,615926.53,379,2020-04-23,2020-02-15
280,d89c3e3a-0430-439c-a169-088a0e767ed1,Fry,Viki,71360,1970,836890.02,478,2020-01-10,2020-03-01
281,14deab91-b568-4865-856a-521a71b9d307,Luhe,Doralynne,95836,1914,25434.41,994,2020-04-14,2020-03-10
282,02ec617d-708d-4357-bd9f-bcc46b593faa,Llovera,Anthia,70477,1972,99387.12,607,2020-04-26,2020-02-22
283,eb313047-9794-4f6a-8214-a6f1cddefb31,Susannah,Charissa,42315,1915,882677.44,705,2020-06-22,2020-04-28
284,f5210512-eeb0-4331-9d72-3c0dc5feff37,Randene,Cyb,97546,1958,533885.65,710,2020-06-16,2020-05-04
285,af7e6639-0522-4814-bc96-cf4e2742e247,Wiener,Aryn,93554,1989,248152.12,553,2020-01-01,2020-02-08
286,05f97ff5-42e3-4616-9115-12470d912099,Belanger,Di,47865,2012,428617.99,690,2020-02-24,2020-06-23
287,dd216e17-bf5d-4948-bb13-6c1ebfafc1ef,Hylan,Leeanne,20710,2014,27460.24,18,2020-02-08,2020-02-16
288,8c54029d-7762-40e8-bdb1-4bfa60ffb870,Alejoa,Candy,73728,2016,566208.2,894,2020-01-16,2020-06-19
289,62fff7c3-0a4e-4df0-a8e7-2e8d7b206744,Dom,Mireielle,81137,1988,34741.27,538,2020-03-13,2020-03-16
290,c968c23d-14fd-40a7-a17c-69b29546b07d,Isacco,Nerta,88844,1904,640236.82,441,2020-02-17,2020-05-12
291,13384125-b765-48ae-acc8-1e496ecfe016,Clarissa,Agathe,98778,1945,532007.51,109,2020-04-14,2020-01-28
292,3b9742d7-62c0-4c12-acfb-a41105a673c0,Carey,Alleen,16574,1997,635093.53,885,2020-05-01,2020-04-24
293,134eb7bf-cfb7-442d-96ca-68da0a99358d,Koziara,Clarice,64025,1967,772012.87,832,2020-03-19,2020-02-25
294,241b10a3-88d0-4614-b2c6-bf4b2287d835,Joni,Lulita,7053,1956,225860.56,189,2020-05-13,2020-02-10
295,2a012f92-83ba-4e9f-ab3d-868651dc800d,Schonfeld,Kellen,85684,1939,990463.6,239,2020-06-18,2020-06-06
296,659b6ab6-c013-4f38-adfd-add7939ce79e,Holbrook,Leia,45691,1966,215481.78,65,2020-05-21,2020-02-23
297,24bb197d-436c-4167-bb67-24bbcbe70dd3,Orlene,Jordan,64495,1979,969512.15,716,2020-01-27,2020-03-03
298,0b4a03ee-33bf-4be0-8d45-88a735aaa0bf,Harday,Siana,71565,1968,641350.26,10,2020-05-25,2020-05-27
299,2900cc17-a993-493b-b162-42b9dcc56ce0,Vale,Patricia,51853,1956,976889.06,267,2020-05-04,2020-02-07
300,aeced7ef-7f01-449c-9967-c06e2f9aee9c,Mauer,Zia,67676,1993,989267.82,708,2020-06-02,2020-01-27
301,fb9ed7f7-d8a4-4ddc-a991-a82bac5598f7,Delp,Wanda,77438,1925,179995.57,126,2020-01-28,2020-05-24
302,75874cd4-1075-4fbc-83af-e2e6c182776a,Madelene,Sarette,93651,2003,246216.23,528,2020-04-16,2020-05-21
303,c38ddcd1-2f48-4e87-9b3e-eb7597159a47,Daveta,Cristine,13146,1946,506608.27,999,2020-05-02,2020-01-18
304,a576f583-a77d-42fb-b694-57dc2678de82,Bury,Mathilda,75714,1954,894919.24,176,2020-05-17,2020-03-30
305,02387ac3-ab67-4142-a933-9cdd4438dbbb,Olnee,Elsie,72612,1941,196091.2,237,2020-01-19,2020-06-08
306,2a5e58db-0d54-4a4c-8eb9-87d87efd87dc,Gilbertson,Bertine,74919,2005,604892.51,233,2020-04-08,2020-03-13
307,99671d51-b496-4496-83c2-d13053664c31,Riva,Claresta,28760,1916,673271.08,807,2020-04-25,2020-06-09
308,36dc6b51-4963-4679-8929-bbb6a08d7368,Clie,Ricky,43600,1958,98057.8,991,2020-06-21,2020-02-12
309,7e364d83-be22-468a-a6e2-c057f076f148,Revkah,Krystle,85558,2006,867079.53,519,2020-03-12,2020-05-18
310,0e234f88-40c9-4bee-ab5f-11e5f956e664,Alrich,Mignon,64383,2004,158727.14,181,2020-03-26,2020-06-17
